,loss,accuracy,val_loss,val_accuracy
0,2.0534510612487793,0.3477729260921478,1.3449124097824097,0.5300480723381042
1,1.4697033166885376,0.47879624366760254,1.1922520399093628,0.5805288553237915
2,1.2816661596298218,0.5432521104812622,1.0958495140075684,0.6131811141967773
3,1.154043436050415,0.5915718078613281,0.9786087274551392,0.6558493375778198
4,1.0594630241394043,0.626733660697937,0.9792117476463318,0.6552484035491943
5,0.973388135433197,0.6563389301300049,0.874566376209259,0.6860977411270142
6,0.9052778482437134,0.6788318157196045,0.8455702662467957,0.7045272588729858
7,0.8371409177780151,0.706947922706604,0.7984830141067505,0.7145432829856873
8,0.7856116890907288,0.7233952879905701,0.7911038398742676,0.7241586446762085
9,0.7403018474578857,0.7406650185585022,0.7282165884971619,0.7443910241127014
10,0.695735514163971,0.7567345499992371,0.7131472229957581,0.753004789352417
11,0.6558821201324463,0.7705814242362976,0.6937969326972961,0.7620192170143127
12,0.6179708242416382,0.785072922706604,0.664657473564148,0.7670272588729858
13,0.5819687247276306,0.7945857048034668,0.6688841581344604,0.7674278616905212
14,0.5480538010597229,0.8088327050209045,0.6405279040336609,0.7780448794364929
